Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic,police_killing
30781,26.3,80.4,58.9,37.8,0.2,0.2,1.5,0.0
22250,26.9,66.8,21.4,76.5,0.3,0.0,1.5,0.0
18224,39.2,76.1,5.2,94.8,0.0,0.0,0.0,0.0
40132,31.9,71.2,76.7,22.6,0.4,0.0,0.0,0.0
41914,4.5,74.0,83.9,16.1,0.0,0.0,0.0,0.0
48767,6.4,84.6,86.9,9.4,0.6,0.7,2.3,0.0
55000,7.2,89.2,98.1,0.0,0.0,0.4,1.3,0.0
46250,8.9,90.4,70.6,25.8,0.3,0.9,2.2,0.0
41282,17.4,79.8,73.9,23.6,0.4,0.2,1.7,0.0
21797,39.3,75.0,32.0,66.5,0.2,0.8,0.5,0.0
29741,25.8,78.4,41.7,55.5,0.0,1.8,1.3,0.0
31579,19.1,84.5,55.9,36.7,0.0,0.0,2.9,0.0
31786,26.1,85.8,56.6,41.3,0.3,0.3,2.0,0.0
23000,37.5,75.4,86.9,10.9,0.0,0.1,1.3,0.0
68462,0.0,87.2,88.2,3.1,5.6,0.0,1.2,0.0
47662,16.6,92.9,93.4,1.5,0.5,0.9,4.0,0.0
39756,16.2,83.1,85.8,7.8,0.5,1.5,3.8,0.0
32500,30.8,74.5,76.3,17.1,1.7,1.2,3.5,0.0
39000,12.0,87.2,85.8,5.1,4.0,0.0,4.0,0.0
28819,25.7,76.5,97.7,0.1,0.2,0.0,1.3,0.0
60474,17.8,95.1,97.7,0.9,0.3,1.2,0.3,0.0
54167,8.3,80.0,94.2,4.9,0.0,0.0,0.0,0.0
24291,26.8,70.7,92.1,0.7,1.0,0.5,6.0,0.0
33053,18.5,82.7,89.3,7.7,0.4,0.2,3.1,0.0
43281,8.0,74.5,90.0,0.8,0.2,0.6,6.8,0.0
29231,25.8,77.7,92.4,3.6,0.2,0.7,2.4,0.0
35972,18.8,80.7,73.1,23.5,0.3,0.7,2.6,0.0
22094,36.7,70.6,77.9,17.9,0.6,0.1,3.1,0.0
53878,6.9,91.9,91.5,4.3,0.8,0.4,2.5,0.0
63708,5.5,90.6,62.2,31.7,0.5,1.2,3.1,0.0
50795,7.9,83.4,87.6,8.8,0.7,0.2,0.0,0.0
18802,44.4,72.1,15.0,84.5,0.0,0.0,0.1,0.0
41938,14.9,88.2,88.9,5.9,1.5,0.4,2.3,0.0
